stop_id,stop_name,fullName,stop_id,municipality,district_code,mainTrafficType,idosCategory,lat,lon,avgJtskX,avgJtskY,numStops
"Bečváry,žel.st.","Bečváry,žel.st.","Bečváry,železniční stanice","Bečváry,žel.st.",Bečváry,KO,bus,301003,49.95663,15.0703888,-698623.563,-1063578.13,2
Běchary,Běchary,Běchary,Běchary,Běchary,JC,bus,301003,50.3138466,15.292757,-677837.1,-1026172.38,2
"Bechlín,ObÚ","Bechlín,ObÚ","Bechlín,Obecní úřad","Bechlín,ObÚ",Bechlín,LT,bus,301003,50.4162827,14.3410187,-743472.75,-1006001.13,2
Bechov,Bechov,Bechov,Bechov,Dolní Bousov,MB,train,600003,50.436142,15.0853567,-690756.438,-1010816.81,1
Běchovice,Běchovice,Běchovice,Běchovice,Praha,AB,bus,301003,50.0812073,14.61692,-729029.3,-1045593.25,4
Bělá (HB),Bělá,Bělá,Bělá (HB),Bělá,HB,bus,301003,49.75258,15.2373,-689592.5,-1087609.25,2
"Bělá p.Bezd.,Atmos","Bělá p.Bezd.,Atmos","Bělá p.Bezd.,Atmos","Bělá p.Bezd.,Atmos",Bělá p.Bezd.,MB,bus,301003,50.5074234,14.7901287,-710511.5,-1000241.38,2
"Bělá p.Bezd.,Bezdědice","Bělá p.Bezd.,Bezdědice","Bělá p.Bezd.,Bezdědice","Bělá p.Bezd.,Bezdědice",Bělá p.Bezd.,MB,bus,301003,50.48362,14.6967335,-717429.9,-1001990.75,1
"Bělá p.Bezd.,Bezdědice,odb.","Bělá p.Bezd.,Bezdědice,odb.","Bělá p.Bezd.,Bezdědice,odbočka","Bělá p.Bezd.,Bezdědice,odb.",Bělá p.Bezd.,MB,bus,301003,50.4829559,14.70503,-716856.0,-1002142.0,2
"Bělá p.Bezd.,Březinka","Bělá p.Bezd.,Březinka","Bělá p.Bezd.,Březinka","Bělá p.Bezd.,Březinka",Bělá p.Bezd.,MB,bus,301003,50.4784126,14.7770634,-711855.0,-1003318.19,2
"Bělá p.Bezd.,Březinka,rozc.Valovice","Bělá p.Bezd.,Březinka,rozc.Valovice","Bělá p.Bezd.,Březinka,rozcestí Valovice","Bělá p.Bezd.,Březinka,rozc.Valovice",Bělá p.Bezd.,MB,bus,301003,50.4734573,14.7545567,-713511.25,-1003654.31,2
"Bělá p.Bezd.,Dřevařská","Bělá p.Bezd.,Dřevařská","Bělá p.Bezd.,Dřevařská","Bělá p.Bezd.,Dřevařská",Bělá p.Bezd.,MB,bus,301003,50.5191727,14.7892866,-710399.0,-998937.7,1
"Bělá p.Bezd.,Jezová","Bělá p.Bezd.,Jezová","Bělá p.Bezd.,Jezová","Bělá p.Bezd.,Jezová",Bělá p.Bezd.,MB,bus,301003,50.5361938,14.79771,-709558.2,-997139.25,2
"Bělá p.Bezd.,Malý Rečkov","Bělá p.Bezd.,Malý Rečkov","Bělá p.Bezd.,Malý Rečkov","Bělá p.Bezd.,Malý Rečkov",Bělá p.Bezd.,MB,bus,301003,50.4954376,14.8817139,-704244.25,-1002412.88,2
"Bělá p.Bezd.,Na Výsluní","Bělá p.Bezd.,Na Výsluní","Bělá p.Bezd.,Na Výsluní","Bělá p.Bezd.,Na Výsluní",Bělá p.Bezd.,MB,bus,301003,50.4932,14.828949,-707988.75,-1002171.0,2
"Bělá p.Bezd.,Nádražní","Bělá p.Bezd.,Nádražní","Bělá p.Bezd.,Nádražní","Bělá p.Bezd.,Nádražní",Bělá p.Bezd.,MB,bus,301003,50.489357,14.8377781,-707423.438,-1002676.38,2
"Bělá p.Bezd.,nám.","Bělá p.Bezd.,nám.","Bělá p.Bezd.,náměstí","Bělá p.Bezd.,nám.",Bělá p.Bezd.,MB,bus,301003,50.5011368,14.8029089,-709704.6,-1001053.19,3
"Bělá p.Bezd.,papírny","Bělá p.Bezd.,papírny","Bělá p.Bezd.,papírny","Bělá p.Bezd.,papírny",Bělá p.Bezd.,MB,bus,301003,50.498394,14.869379,-705069.1,-1001972.81,2
"Bělá p.Bezd.,Pražská","Bělá p.Bezd.,Pražská","Bělá p.Bezd.,Pražská","Bělá p.Bezd.,Pražská",Bělá p.Bezd.,MB,bus,301003,50.48989,14.8413792,-707162.4,-1002651.13,2
"Bělá p.Bezd.,Šubrtov","Bělá p.Bezd.,Šubrtov","Bělá p.Bezd.,Šubrtov","Bělá p.Bezd.,Šubrtov",Bělá p.Bezd.,MB,bus,301003,50.498893699999996,14.8634243,-705480.8,-1001862.75,2
"Bělá p.Bezd.,u kapličky","Bělá p.Bezd.,u kapličky","Bělá p.Bezd.,u kapličky","Bělá p.Bezd.,u kapličky",Bělá p.Bezd.,MB,bus,301003,50.5052643,14.7951355,-710191.0,-1000525.75,2
"Bělá p.Bezd.,u koníčka","Bělá p.Bezd.,u koníčka","Bělá p.Bezd.,u koníčka","Bělá p.Bezd.,u koníčka",Bělá p.Bezd.,MB,bus,301003,50.5004044,14.8110476,-709142.9,-1001209.69,2
"Bělá p.Bezd.,u továrny","Bělá p.Bezd.,u továrny","Bělá p.Bezd.,u továrny","Bělá p.Bezd.,u továrny",Bělá p.Bezd.,MB,bus,301003,50.4958954,14.8204231,-708549.25,-1001794.38,2
"Bělá p.Bezd.,žel.st.","Bělá p.Bezd.,žel.st.","Bělá p.Bezd.,železniční stanice","Bělá p.Bezd.,žel.st.",Bělá p.Bezd.,MB,bus,301003,50.48838,14.8354321,-707602.8,-1002762.75,2
Bělá p.Bezdězem,Bělá pod Bezdězem,Bělá pod Bezdězem,Bělá p.Bezdězem,Bělá p.Bezd.,MB,train,600003,50.488327,14.8360224,-707562.063,-1002773.88,1
Bělá p.Bezdězem město,Bělá pod Bezdězem město,Bělá pod Bezdězem město,Bělá p.Bezdězem město,Bělá p.Bezd.,MB,train,600003,50.4933319,14.7871,-710930.6,-1001766.81,1
Bělá p.Bezdězem z.,Bělá pod Bezdězem zast.,Bělá pod Bezdězem zastávka,Bělá p.Bezdězem z.,Bělá p.Bezd.,MB,train,600003,50.50015,14.8684378,-705109.9,-1001770.5,1
"Bělá,Tasice (HB)","Bělá,Tasice","Bělá,Tasice","Bělá,Tasice (HB)",Bělá,HB,bus,301003,49.760582,15.2520094,-688429.4,-1086859.0,2
Belárie,Belárie,Belárie,Belárie,Praha,AB,tram,301003,50.0132332,14.4004011,-745415.7,-1050988.0,3
Bělčice,Bělčice,Bělčice,Bělčice,Bělčice,ST,train,600003,49.50444,13.8863316,-790010.1,-1101830.38,1
"Bělčice,nám.","Bělčice,nám.","Bělčice,náměstí","Bělčice,nám.",Bělčice,ST,bus,301003,49.5035439,13.8745661,-790867.8,-1101807.0,1
"Bělčice,u knihovny","Bělčice,u knihovny","Bělčice,u knihovny","Bělčice,u knihovny",Bělčice,ST,bus,301003,49.50265,13.8796577,-790517.0,-1101958.25,2
"Bělčice,Záhrobí","Bělčice,Záhrobí","Bělčice,Záhrobí","Bělčice,Záhrobí",Bělčice,ST,bus,301003,49.5087776,13.8490229,-792614.8,-1100965.0,1
"Bělčice,Záhrobí,cihelna","Bělčice,Záhrobí,cihelna","Bělčice,Záhrobí,cihelna","Bělčice,Záhrobí,cihelna",Bělčice,ST,bus,301003,49.50415,13.8582249,-792029.4,-1101570.25,2
"Bělčice,Závišín","Bělčice,Závišín","Bělčice,Závišín","Bělčice,Závišín",Bělčice,ST,bus,301003,49.4852448,13.868063,-791626.1,-1103753.25,2
"Bělčice,ZD","Bělčice,ZD","Bělčice,ZD","Bělčice,ZD",Bělčice,ST,bus,301003,49.49877,13.8749714,-790914.9,-1102336.25,2
"Bělčice,žel.st.","Bělčice,žel.st.","Bělčice,železniční stanice","Bělčice,žel.st.",Bělčice,ST,bus,301003,49.5036621,13.8847542,-790135.5,-1101899.75,2
Běleč,Běleč,Běleč,Běleč,Liteň,BE,train,600003,49.9095764,14.178277,-762791.4,-1060205.38,1
Běleč (KD),Běleč,Běleč,Běleč (KD),Běleč,KD,bus,301003,50.0570679,13.99399,-773566.6,-1042105.0,2
